3.795729	6.689539	5.509298
3.612785	4.955865	2.820473
3.855962	5.407852	8.918551
2.590604	3.785881	7.045770
3.986195	5.863363	3.411620
4.078932	5.605431	8.348119
3.583489	4.107802	3.531498
5.246895	5.384694	7.562468
3.773052	4.315917	9.377245
3.162182	3.671094	7.738800
2.982149	3.634359	4.839557
4.329800	4.649478	9.069158
2.885350	3.879379	4.204005
3.287610	3.722130	8.014172
2.786408	3.410565	5.427732
3.415256	6.000158	5.101673
4.302110	6.518387	8.091918
3.061918	3.820705	4.445670
4.766532	6.286305	4.080107
4.149560	5.158080	3.169201
4.443901	4.052356	8.293685
3.939825	5.215991	3.103676
3.626437	4.680543	3.109856
4.628981	4.190976	6.690149
4.849495	5.650374	7.425152
3.955897	4.757186	9.035172
5.279461	5.393995	5.408068
4.124771	4.519863	8.655549
4.485021	6.209983	4.075461
4.458570	6.047629	7.878261
4.515341	5.102017	8.923177
2.853565	4.494140	8.006385
3.671257	6.060335	5.716159
4.733209	4.103185	7.283296
4.504775	5.896047	7.848231
2.947589	5.150827	3.598419
2.876816	3.487990	6.123477
4.145465	4.528259	8.833325
4.137912	5.589609	8.888801
3.614612	3.945070	3.449799
2.916955	4.018034	7.208151
4.995638	6.042195	6.340910
3.181775	4.615386	3.387480
4.285042	6.344364	4.127354
3.829487	5.678045	3.286118
4.084976	4.830439	8.835353
4.716669	4.855133	5.353055
5.236766	6.693384	5.579070
4.132349	4.668250	2.931199
3.823472	4.921101	8.906642
2.654882	4.337184	4.914875
3.724493	3.445284	7.901790
4.009367	4.539909	2.956175
2.709868	5.015588	5.111680
3.930417	5.981595	8.367029
2.646565	3.903455	5.521784
5.462497	6.457998	6.450686
4.430025	4.159620	5.933297
4.012088	4.799665	8.911813
4.028128	3.977212	4.467114
4.326956	5.237665	8.775960
5.305332	6.730222	5.589511
3.672472	4.920783	8.869838
5.111078	5.889336	4.809860
3.141884	4.147169	3.518875
3.206336	3.805171	7.364407
4.681166	4.772143	7.584184
3.254343	3.461026	5.629475
3.872838	5.519304	8.681198
4.281513	5.107037	9.021282
4.721521	4.792259	4.272279
4.705348	6.622793	5.313806
5.233664	5.567035	6.316329
